"reference_area","attd_dom_abuse","attd_pol_leadership","attd_housewife","attd_w_income","prev_dom_viol","attd_deserve_job","attd_business_exec","attd_child_suffer","reproductive_discrim","restricted_civil_liberties","discrimination_in_the_family","access_to_productive_and_financial_assets","education","employment","absence_of_legal_discrimination","access_to_justice","political_violence_targeting_women","proximity_to_conflict","maternal_mortality_ratio","community_safety","gdp_per_cap","gdp_ppp","avg_attd"
"Norway",11.1,8,57.1,29,3.4,4.2,10.9,26.1,0,8.4,0,4.6,13.13508034,78.6190361712878,96.875,3.118,0,0,1.66,86,108798.4512,124252.8326,22.55
"Viet Nam",56.9,55.2,62.8,47.1,7.3,52,41.5,78.3,0,10.1,38.3,7.7,8.034310341,82.025402280395,88.125,1.748,0,0,124.3,79,4179.01179,14051.24877,56.15
"Armenia",3.7,52.1,54,45.7,4.5,54.9,47.3,40.9,0,16.5,26.3,24,11.32151985,71.3555178579206,87.5,3.116,0,21.451129,27.19,80,7018.051504,20445.09888,49.15
"Finland",13.2,11.8,84.6,35.4,5.6,4,11.8,14.1,0,18.3,0,3.5,13.04683971,77.6501520269288,97.5,3.419,0,0,8.34,78,50734.71075,62599.00556,26.95
"Japan",7.8,29.3,82,14.4,3,25.9,22.6,16.4,75,27.3,44.4,30,13.30556444,76.9604666234608,78.75,3.614,0,0,4.31,70,34017.27181,47118.38827,31.7666666666667
"Kenya",50.4,42.2,33.2,53.3,21.4,36.8,32.2,22.6,75,25.5,40.1,35.1,6.064,75.2959370158019,80.625,2.515,0.209174787847224,41.041455,530,43,2099.298568,5902.091974,36.7166666666667
"Peru",11.4,16.6,60.3,26.3,9.1,24.5,13.4,44.9,75,4.5,36.7,8.6,9.325330482,69.4295583567091,95,2.101,0.0174494662004712,1.8384814,68.54,37,7239.111311,16363.08639,31
"Slovenia",17.1,19.5,52.1,17.4,2.6,11.8,17.5,29.9,0,17,7.8,21.8,12.83347034,75.5280075146587,96.875,3.521,0.0948560511995022,0,4.53,85,28439.3341,51281.85751,24.7
"Tajikistan",75.1,74.5,61.8,46.9,12,63.1,66.4,50.8,0,23.7,41.8,41.5,10.88014417,36.3541336050872,78.75,0.851,0,35.843015,16.63,90,1076.434691,4614.424214,60.5833333333333
"Estonia",17.8,37.2,85.6,25.3,2.7,9.8,26.7,22.2,0,21.5,0,3.5,13.78102016,79.0118189549704,97.5,3.444,0,0,5.18,71,28114.14318,47941.67913,34.4666666666667
"Georgia",8.7,57.4,53.4,26.2,2.2,49.6,52.5,78.5,0,21.5,41.7,27.9,12.86532021,60.9130407911608,88.125,2.986,0,0,27.61,74,6729.846599,22442.78672,52.9333333333333
"Haiti",23,37.3,19.3,61.2,10.1,38.9,63.1,33.2,100,61.7,49.8,34,4.552,54.087406921886,61.25,1.035,1.14602692136972,67.638093,350.4,52.4934298560341,1748.257135,3239.319005,42.1666666666667
"Nigeria",29.3,75.7,38.5,67.5,11.7,65.2,64.4,41.1,75,46.9,56.5,35.4,6.144916176,58.9075895894831,66.25,2.526,0.179474957114505,69.607753,1047,52,2162.633732,6069.187109,58.7333333333333
"Indonesia",20.2,72.2,73.3,37.6,7.5,75.8,62.7,11.1,75,36.5,80.3,17.8,8.206930161,58.7186515175717,70.625,2.281,0,14.291808,172.9,73,4787.912364,14445.64316,55.45
"Lithuania",1.4,44.6,82.6,58.4,4.1,21.5,39.8,54.3,0,19.2,7.9,6.7,13.58351994,79.3172424721839,93.75,3.721,0,0,8.66,61,25078.74537,50997.27897,50.2
"Netherlands",7.1,6.6,52.2,5.1,3.5,2.9,6.6,14.3,0,18.9,0,7.3,12.3527298,77.1863307392953,100,3.479,0,0,4.31,72,57025.01246,74541.79924,14.6166666666667
"Zimbabwe",17.9,45,52.7,67.8,15.8,44.7,30.5,17.8,50,8.1,18.8,29.4,8.296557948,64.7780893653197,86.875,2.678,0.0464309945460993,0,356.8,32,1676.821489,3660.835501,43.0833333333333
"Argentina",14.1,22.7,57,19.6,3.7,13.8,19.1,38.1,0,7.3,8.7,34.2,11.35364528,62.6968064303687,79.375,2.514,0.0304616670164681,0,44.9,41,13650.60463,29037.48912,28.3833333333333
"Kazakhstan",37.4,51.6,52.6,31.6,4.9,49.3,45.5,34.5,75,11.5,14.8,21.4,12.37770421,62.521350582865,75.625,2.327,0.119249941716591,0,13.38,58,11484.41681,36595.40669,44.1833333333333
"Pakistan",51,77.6,65.2,73,14.6,85.4,77.7,80.2,75,53.6,86.3,48.3,3.896490097,25.2937414371401,58.75,1.527,0.0128354346166298,40.039805,154.2,56,1589.26398,6112.32472,76.5166666666667
"Morocco",52.3,42.8,61.5,47.2,14.2,56.2,38.8,70.1,75,33.4,80.2,42.6,4.988,25.6061995143729,75.625,3.032,0.0322483501340967,0.010165331,71.85,59,3441.991455,9205.335938,52.7666666666667
"Montenegro",2,29.6,65,37,3.5,46.5,23.7,54.4,0,14.6,14.3,5.2,11.795824,51.5446056263581,85,2.863,0,0,6.17,80,10093.4387,28319.58895,42.7
"Poland",9.7,30.3,44.1,17.4,2.6,23.5,21.7,51.4,50,11,7.9,20.9,13.34002972,70.6448981043655,93.75,2.582,0,0,1.96,65,18732.49773,46720.57301,31.4
"Germany",2.5,8.2,58.4,15.6,3,9.2,9.4,29.1,0,16.9,7.8,6.6,13.84053479,76.8986913950044,100,3.901,0.00710335891560691,0,4.43,71,48717.99114,66616.02225,21.65
"Brazil",11.7,18.6,49.7,36.3,5.3,18.8,22.1,55.1,75,26.9,21.5,16.4,8.333614199,54.5027959371353,85,2.209,0.298410836361526,42.854705,72.15,39,9065.497334,19398.58981,33.4333333333333
"Canada",13.6,15.2,68.7,10.8,1.7,5.7,14.3,20.9,0,20.5,13.3,18.6,13.91497893,75.0613892642667,100,2.607,0,0,11.01,61,55509.39318,62041.56203,22.6
"Ghana",37,81.3,38.9,54.1,9.5,49.3,68.8,33.1,50,52.3,44.3,25.1,7.779994279,81.0461450490539,75,2.808,0.0953473133153238,1.560963,263.1,56,2218.414758,7132.783653,54.25
"India",41,58.7,64.9,38.4,15.9,56.9,59.3,81.4,75,13.8,60.1,41.2,6.251538841,34.6097926274179,74.375,2.396,0.018221768913203,11.628152,102.7,58,2366.309609,9199.567739,59.9333333333333
"Myanmar",14.4,69.9,99.1,56.2,8.7,81.6,69.4,54.6,75,33,63,33.7,6.094560146,52.727036512432,58.75,1.128,0.466624584722491,97.892267,178.7,32,1149.018961,5682.541332,71.8
"Ukraine",31.1,44.9,83.8,32.5,8.3,30.8,43.8,58.2,0,17.2,14.9,21.5,11.45783104,67.6693793413676,85,2.532,0.321362697065777,81.008738,16.54,55,4575.975098,16080.22852,49
"South Africa",7,53.4,56.8,34.7,11,30.3,50.3,54.9,0,2.1,52.4,12,9.657389641,46.0155844107039,88.125,3.292,0.0781100517905444,14.776905,126.8,27,6766.481254,15330.76927,46.7333333333333
"Colombia",12.3,24.1,60.1,43,10,18.9,18.9,49.1,0,7.9,21.9,33.7,9.016329765,53.3174356718569,84.375,2.43,0.475313780293316,66.120595,74.76,36,6657.086697,21055.66303,35.6833333333333
"Ethiopia",13.7,40.7,51.7,46.2,22.8,48.4,34.8,61.3,50,17.1,40.6,39.9,2.161845446,62.3121394013712,76.875,2.537,0.0309447519076992,67.368788,266.7,49,1027.498631,2888.736492,47.1833333333333
"New Zealand",2.9,6.5,74,7.2,3.2,4.9,6,17.5,0,16.9,7.9,20.3,12.93587971,78.2207456626061,97.5,3.583,0,0,7.03,42,48216.50958,52327.69912,19.35
"Rwanda",45,45.7,46.2,30.8,21.5,42.3,43.7,39.8,50,5.8,35.4,15.1,4.031224613,55.1624611083044,83.75,2.607,0,17.079794,258.9,75,966.5712933,3065.14536,41.4166666666667
"Uruguay",3,11.1,59.7,26.5,3.4,13.2,11.8,36.7,0,12.3,31.5,22,9.251560211,71.0826531894881,88.75,3.229,0.0566758160325682,0,18.64,41,20499.24222,32746.31528,26.5
"Mexico",31.8,24,57.3,53.5,8.9,25,19,53.2,75,5.9,39.2,16.4,9.096670151,51.3546906035289,88.75,1.602,0.822242866932119,94.289237,59.13,40,11476.67881,23859.12564,38.6666666666667
"Greece",5,27.1,63.5,27.2,3.7,37.9,25,40.4,0,14.8,39.1,6.2,11.09685993,54.9981313852394,100,3.365,0.0377175311461943,0,7.65,56,20867.26909,38922.47423,36.85
"Philippines",53.6,56.5,84.3,27.4,4.9,69.1,43.3,46.5,100,41.6,56.9,50.4,9.232720375,54.0475701954337,78.75,2.626,0.0562590564994057,75.349855,78.24,65,3499.10728,9983.287753,54.5166666666667
"Spain",9.6,9,49.5,14.4,2.6,10.8,6.8,25.8,0,3.1,14.6,4.3,10.52787018,64.8357631030121,100,3.796,0.00412378480309422,0,3.44,78,29674.54429,48685.49631,19.3833333333333
"Australia",6.8,12.6,65.2,6.5,2,6.8,10.7,25.8,0,22.5,7.9,17.4,12.81058979,75.2464862018126,96.875,3.703,0,0,2.94,54,65077.67667,65365.94851,21.2666666666667
"Chile",31.3,33.3,57,36.7,4.8,34.6,29.4,54.3,75,7.1,8.5,60.6,10.84131778,56.5635311911201,80,3.283,0.0607644040500691,0,15.03,28,15411.17395,31586.1369,40.8833333333333
"Jordan",63,71.9,72.4,56.3,12.1,81.5,56.2,84.6,75,54.6,89.1,33.6,10.07157993,14.2139966246699,46.875,2.51,0,0,41.31,75,4311.000051,9871.875153,70.4833333333333
"Mongolia",62.9,49.3,29.1,37.4,9.3,45,41.3,60.5,0,13.8,14.6,3.5,9.949589729,59.7343906346156,90.625,2.584,0,0,39.49,41,5045.504726,16559.07453,43.7666666666667
"Bulgaria",18.3,45.4,62,41.5,4.1,29.7,38.6,28.1,0,18.8,8,21.4,11.50780964,72.47100689037,90.625,3.088,0,0,7.09,54,13974.44925,35463.55499,40.8833333333333
"Czechia",2.6,49.7,41.3,49.8,2.9,26.6,43.9,32.2,0,21,7.8,10,12.71214962,75.093712542988,93.75,3.849,0,0,3.37,67,27226.61564,51701.94914,40.5833333333333
"Ecuador",20.2,22.8,58.2,41.2,6.6,30.7,20,55.7,75,8.2,18.1,17.4,8.800060272,62.9624089592933,89.375,2.452,0.022181806969923,58.56691,65.75,27,6476.644575,15117.27063,38.1
"Lebanon",46.6,46.4,50.6,34.4,8.9,61.7,36.3,63.5,75,55.4,88.9,38.8,8.4842,30.9098444745373,58.75,1.897,0.0707367908769346,0,20.62,46,3823.938069,12852.66602,48.8166666666667
"Sweden",13.1,5.3,42.1,11.8,4.8,3,4.7,15.2,0,15.6,3.5,2.1,12.76821041,79.9866745233061,100,3.806,0,0,4.51,74,56299.50573,68088.19327,13.6833333333333
"Azerbaijan",24,62.7,70.9,37.6,4,55.4,65.5,62.8,0,23.4,21.1,22.9,10.2091198,75.7946594256246,78.75,1.527,0,22.388093,40.76,67.8869190142234,7770.594223,22533.49406,59.15
"Thailand",8,46.1,47.3,30.9,7.1,31.3,41.2,38.7,0,46.8,39,21.9,8.56564045,74.5717882144858,78.125,1.709,0,4.1095972,28.6,54,6913.050805,22213.79937,39.25
"Croatia",4.4,18,71.5,31.7,2.8,21.8,12.8,41.2,0,14,31,6.5,11.93745426,66.0664593673823,93.75,3.323,0,0,4.82,71,18673.17799,42399.12226,32.8333333333333
"Romania",8.5,40.3,36.3,23,6.7,39.8,36.5,36,0,20.3,14.9,7.7,10.98981953,59.4612551892552,90.625,2.811,0,0,10.07,58,15692.30717,42973.18966,35.3166666666667
"Cyprus",7.8,28.7,59.1,35.7,3,40.6,27.3,50.1,0,27.5,42.3,8.1,12.41040993,71.3960995921805,94.375,3.37,0.480220517261527,0,68.41,58,32048.24805,53776.30859,40.25
"Guatemala",23.5,20.8,53.8,38.2,6.3,22.3,17.9,59.1,75,14.6,29.2,28.4,5.235280037,43.0450501090161,73.75,1.433,0.510373960986792,11.44556,95.5,47,5473.208564,13299.60235,35.35
"Albania",5,24.1,45.6,24.2,5.1,30.2,32.2,64.8,0,7.4,8.6,4.6,11.68443326,63.5955196486897,91.25,3.15,0,0,8.28,57,6810.114041,19492.7831,36.85
"Bolivia",22.1,22.6,78.3,52.3,15.5,30.6,19.2,80.9,50,9,26.9,19.3,9.216730118,75.8063818541816,88.75,2.008,0.0655979987362545,0.85342331,160.9,37,3600.121635,10238.81209,47.3166666666667
"Hungary",11.5,32.9,91.9,55.3,4.2,22.8,28.7,47.7,0,26.9,7.9,3,12.09698963,76.2763596110062,96.875,3.172,0,0,15.05,64,18355.82781,43577.88714,46.55
"Bosnia and Herzegovina",1,32.1,71,45.7,2.7,40.4,27.2,50.2,0,21.2,31.8,39.6,9.778189659,46.2680758311048,85,2.188,0,0,5.67,57,7587.588173,20998.52263,44.4333333333333
"Latvia",1.9,40.4,62.7,46.1,4.4,18.8,38.1,47.8,0,21.9,7.9,0.8,13.56832981,74.8458790794153,100,3.527,0,0,18.32,62,21508.40033,41106.52707,42.3166666666667
"Trinidad and Tobago",8,25.1,70.6,48,5.6,27.5,20.8,38.7,75,28,33,15.1,11.72598705,58.4493280494329,75,2.882,1.03098762170487,0,26.58,57.7472094779644,19629.46534,29910.14264,38.45
"United States",13.9,16.5,70.3,10,4.2,5.2,12.7,20.8,100,18.5,13.3,15.1,13.73783016,69.9829994721436,91.25,3.514,0.0245913560680811,0,21.08,61,77246.67388,77246.67388,22.5833333333333
"Tunisia",29.4,58.5,73.1,44.3,8.3,64.7,44,71.5,0,46.7,79.8,36.3,6.855294122,25.9038718369855,64.375,3.266,0,6.7583218,36.63,49,3607.910238,13253.39062,59.35
"Bangladesh",17,64.1,59.4,59.5,20.8,77.1,69.2,88.3,75,36.1,81.9,42.5,6.755380154,40.5465382745065,49.375,1.433,0.0220092960547908,28.067589,123,71,2687.899063,8354.715868,69.6
"Nicaragua",12,25.2,68.1,43.9,5.6,26.2,19.4,64.6,100,25.4,10.6,19,7.42,57.4527399175128,86.25,0.659,0,0,77.88,50,2252.310206,7526.290384,41.2333333333333
"Singapore",13.8,31,66.9,21.5,2,27.9,23.4,35.6,0,52.9,39,41,11.62705994,75.9067025503012,82.5,3.251,0,0,7.45,94,88428.70242,141796.102,34.3833333333333
"North Macedonia",11,46.1,51.7,24.3,3.3,32.7,42.6,38.8,0,16.3,8.5,38.1,9.653639793,51.7293012281052,85,2.331,0,0,3.04,64,7485.603458,24179.57244,39.3666666666667
"Serbia",2,35.8,33.2,24.2,3,23.8,34,53.9,0,13.3,20.5,12,11.01638985,64.4842124210675,93.75,3.11,0,0,10.18,64,9537.684319,25057.41952,34.15
